pmid,year,title,authors,journal,category,tags,doi,pmc,url
42101631,2026,Redox-modulation of regulated cell death: implications for synergistic anticancer therapies.,Singh P; Sridhar S; Balasubramanian D; Maigandan D; Chandramoorthy HC; Ganesan T; Gandhirajan RK,Naunyn-Schmiedeberg's archives of pharmacology,Reviews & Consensus,Reviews & Consensus; Modeling & Mechanisms; Clinical & Translational; Radiobiology,10.1007/s00210-026-05320-x,,https://pubmed.ncbi.nlm.nih.gov/42101631/
42095785,2026,Effect of oxygen and nanoparticles on human skin and colon cells exposed to synchrotron-based X-ray FLASH beams.,Geso M; Cameron M; Ffrench T; Forrester H; Lynch R; Nakayama M; Patterson W; Rahman WN; Butler D; Piva TJ,Journal of synchrotron radiation,Radiobiology,Radiobiology; Beam Delivery & Technology,10.1107/S160057752600398X,PMC13344633,https://pubmed.ncbi.nlm.nih.gov/42095785/
42094274,2026,Addressing respiratory gating latency for accurate pulse delivery in preclinical electron FLASH irradiation on a clinical linear accelerator.,Manjappa R; Wang J; Melemenidis S; Viswanathan V; Ashraf R; Skinner L; Soto LA; Lau B; Ko RB; von Eyben R; Graves E; Yu SJ; Bush KK; Surucu M; Rankin EB; Schüler E; Maxim PG; Loo BW,ArXiv,Beam Delivery & Technology,Beam Delivery & Technology; Radiobiology,,PMC13142555,https://pubmed.ncbi.nlm.nih.gov/42094274/
42078815,2026,Modern proton therapy in prostate cancer: precision in practice.,Yacoub I; Khalil J; Wei S; Hsieh K; Chhabra AM; Mehta KJ; Oska C; Zhu L; Choi JI; Simone CB,Frontiers in oncology,Reviews & Consensus,Reviews & Consensus; Radiobiology; Physics & Dosimetry; Treatment Planning & Optimization,10.3389/fonc.2026.1775107,PMC13132783,https://pubmed.ncbi.nlm.nih.gov/42078815/
42061755,2026,"FLASH radiotherapy induces unique immunotranscriptomic profiles compared to conventional dose-rate radiotherapy, despite identical immune infiltration and antitumor efficacy in a murine model of triple-negative breast cancer.",Arrigo A; Brants L; Kramp L; Vanreusel V; Stevens P; Colijn A; Hermans C; Meijnders P; Verellen D; Poortmans P; Audenaerde JV; Wouters A; Gasparini A; Montay-Gruel P,Radiotherapy and oncology : journal of the European Society for Therapeutic Radiology and Oncology,Radiobiology,Radiobiology,10.1016/j.radonc.2026.111548,,https://pubmed.ncbi.nlm.nih.gov/42061755/
42050792,2026,Use of apertures in single-energy pristine Bragg peak FLASH radiotherapy.,Ma Y; Selvaraj B; Zhao X; Cheng C; Chen CC; Diao L; Wang Y; Wang Z; Pei Y; Liu L; Yan X; Durkee B; Simone CB; Lin H; Mou X; Kang M,Journal of applied clinical medical physics,Physics & Dosimetry,Physics & Dosimetry; Radiobiology; Beam Delivery & Technology; Treatment Planning & Optimization,10.1002/acm2.70593,PMC13125415,https://pubmed.ncbi.nlm.nih.gov/42050792/
42037989,2026,Fiber-Tip Surface-Micromachined Optical Ultrasound Transducer (SMOUT) Probe for Acoustic Detection Induced by Ultrahigh Dose Rate (UHDR) Electron Beam.,Fang C; Li B; Litzenberg DW; El Naqa I; Zhang W; Wang X; Zou J,IEEE sensors journal,Physics & Dosimetry,Physics & Dosimetry,10.1109/jsen.2026.3661852,PMC13105313,https://pubmed.ncbi.nlm.nih.gov/42037989/
42031987,2026,"Start-to-end modelling of laser-plasma acceleration, beam transport and dose deposition of very high-energy electrons for radiotherapy.",Kalvala R; Golovanov A; Courvoisier A; Friling T; Kroupp E; Grishko L; Malka V,Scientific reports,Beam Delivery & Technology,Beam Delivery & Technology; Modeling & Mechanisms; Clinical & Translational,10.1038/s41598-026-49116-8,PMC13272953,https://pubmed.ncbi.nlm.nih.gov/42031987/
42031222,2026,FLASH Radiotherapy Mitigates Radiation-Induced Lymphopenia and Prevents Immunosuppression via Chk1-STAT3 Axis Modulation in a Preclinical Thoracic Irradiation Model.,Tao RH; Liu K; Aguilar E; Wang M; Aggarwal S; Neill D; Velasquez B; Beddar S; Koong AC; Mohan R; Schüler E; Lin SH,"International journal of radiation oncology, biology, physics",Radiobiology,Radiobiology; Modeling & Mechanisms,10.1016/j.ijrobp.2026.04.018,,https://pubmed.ncbi.nlm.nih.gov/42031222/
42030995,2026,Systematic tissue oxygen variation shows the modulation of murine skin radiation toxicity at ultra-high dose rates.,Hunter DI; Sunnerberg JP; Tavakkoli AD; Sloop AM; Petusseau B; Gui J; Cao X; Zhang R; Swartz HM; Jarvis LA; Jack Hoopes P; Gladstone DJ; Pogue BW,Physics in medicine and biology,Radiobiology,Radiobiology; Beam Delivery & Technology; Modeling & Mechanisms,10.1088/1361-6560/ae64a5,PMC13161763,https://pubmed.ncbi.nlm.nih.gov/42030995/
